lat,lon,timestamp,datetime,temp,pressure,humidity,wind_speed,wind_deg,weather
55.53584,-114.566667,1720627200,2024-07-10 16:00:00,301.13,1005,51,1.87,103,clear sky
55.132148,-115.788703,1720620000,2024-07-10 14:00:00,295.68,1005,67,0.54,97,overcast clouds
57.205917,-118.331967,1720641600,2024-07-10 20:00:00,304.36,1002,25,2.15,135,overcast clouds
53.738033,-116.13625,1720641600,2024-07-10 20:00:00,307.09,1003,20,4.23,257,clear sky
55.789,-111.51605,1720652400,2024-07-10 23:00:00,305.84,1002,30,3.37,197,clear sky
55.370533,-116.81475,1720652400,2024-07-10 23:00:00,305.02,1001,32,5.45,299,scattered clouds
54.230785,-115.289573,1713232800,2024-04-16 02:00:00,281.0,1011,30,2.84,330,overcast clouds
54.96145,-115.066033,1719075600,2024-06-22 17:00:00,294.89,1008,36,3.06,135,clear sky
54.059067,-117.480867,1721422800,2024-07-19 21:00:00,304.38,1012,25,6.34,125,clear sky
52.395667,-115.02555,1721149200,2024-07-16 17:00:00,297.29,1015,52,0.55,65,scattered clouds
55.867667,-110.920683,1721160000,2024-07-16 20:00:00,302.12,1012,35,3.24,202,broken clouds
53.260783,-116.6007,1721091600,2024-07-16 01:00:00,298.79,1008,39,3.51,48,broken clouds
54.29456,-115.194512,1715886000,2024-05-16 19:00:00,279.09,1001,92,5.23,68,overcast clouds
55.620033,-112.391867,1720645200,2024-07-10 21:00:00,306.81,1003,27,2.47,194,clear sky
57.14915,-110.083083,1720587600,2024-07-10 05:00:00,295.24,1007,45,3.91,176,clear sky
56.707233,-118.9744,1721167200,2024-07-16 22:00:00,298.42,1011,36,5.05,230,clear sky
55.297619,-115.310757,1713117600,2024-04-14 18:00:00,284.13,1010,27,3.19,287,scattered clouds
55.922833,-110.731483,1713834000,2024-04-23 01:00:00,286.22,1009,33,3.07,357,overcast clouds
52.60555,-114.796533,1713902400,2024-04-23 20:00:00,286.88,1011,34,3.81,140,few clouds
57.1061,-117.540017,1713974400,2024-04-24 16:00:00,281.97,1006,57,2.22,84,overcast clouds
51.62225,-115.109,1718373600,2024-06-14 14:00:00,286.11,1007,52,0.99,235,overcast clouds
56.351167,-111.346,1720555200,2024-07-09 20:00:00,304.21,1010,22,1.83,230,scattered clouds
57.346167,-115.162167,1720641600,2024-07-10 20:00:00,308.31,1002,22,1.03,135,scattered clouds
57.194267,-114.646183,1720623600,2024-07-10 15:00:00,298.27,1005,48,0.31,165,broken clouds
53.375702,-116.853423,1712750400,2024-04-10 12:00:00,266.06,1028,81,2.42,225,scattered clouds
58.384667,-115.999033,1713718800,2024-04-21 17:00:00,284.21,1004,36,1.05,77,clear sky
55.36715,-115.067917,1713729600,2024-04-21 20:00:00,282.31,1004,47,4.02,316,overcast clouds
55.402184,-116.217288,1713733200,2024-04-21 21:00:00,286.44,1002,31,5.6,309,broken clouds
55.916333,-110.740133,1713801600,2024-04-22 16:00:00,281.95,1007,45,3.01,345,overcast clouds
55.228067,-113.87785,1719010800,2024-06-21 23:00:00,295.63,1012,32,4.09,150,scattered clouds
54.891567,-110.6446,1720731600,2024-07-11 21:00:00,305.23,1006,26,2.16,295,scattered clouds
55.895374,-115.642076,1712584800,2024-04-08 14:00:00,274.25,1010,64,2.1,187,few clouds
56.517277,-115.381725,1713996000,2024-04-24 22:00:00,288.59,1003,32,3.15,273,overcast clouds
55.410967,-116.225733,1713542400,2024-04-19 16:00:00,274.47,1037,39,0.46,150,clear sky
55.358317,-115.884333,1713632400,2024-04-20 17:00:00,281.2,1023,20,2.57,144,clear sky
53.573667,-116.357,1713726000,2024-04-21 19:00:00,281.91,1006,59,7.19,286,overcast clouds
58.35705,-116.0418,1719694800,2024-06-29 21:00:00,299.23,1011,27,2.95,229,scattered clouds
57.918567,-117.5027,1720911600,2024-07-13 23:00:00,297.72,1010,30,1.44,47,scattered clouds
58.646783,-116.207267,1721156400,2024-07-16 19:00:00,303.2,1008,38,2.67,195,few clouds
55.8157,-112.176583,1716811200,2024-05-27 12:00:00,282.48,1013,79,0.52,177,overcast clouds
55.920018,-110.696597,1716807600,2024-05-27 11:00:00,277.68,1014,77,1.29,131,few clouds
58.517633,-115.1228,1714906800,2024-05-05 11:00:00,273.93,1009,83,2.61,52,few clouds
52.864333,-115.803783,1718874000,2024-06-20 09:00:00,276.85,1021,81,1.84,218,clear sky
56.44775,-117.23955,1712419200,2024-04-06 16:00:00,275.18,1014,92,2.65,144,scattered clouds
57.561817,-115.508783,1713628800,2024-04-20 16:00:00,279.58,1024,24,1.99,231,clear sky
57.5435,-115.498783,1713628800,2024-04-20 16:00:00,279.58,1024,24,1.99,231,clear sky
55.926133,-110.724117,1714161600,2024-04-26 20:00:00,279.26,1017,28,3.82,334,clear sky
55.9333,-110.72125,1714953600,2024-05-06 00:00:00,287.92,1004,31,3.82,150,overcast clouds
53.702667,-115.7315,1716663600,2024-05-25 19:00:00,285.43,1000,67,2.73,146,overcast clouds
57.002467,-115.208367,1716753600,2024-05-26 20:00:00,289.89,1003,56,3.87,146,light rain
56.747972,-113.359763,1716750000,2024-05-26 19:00:00,286.91,1005,70,1.51,182,light rain
