#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Wed Feb  5 11:38:49 EST 2025.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20250101,-62.2,39.8,3
20250101,-62.3,39.5,6
20250101,-62.2,39.5,1
20250101,-61.7,39.5,1
20250101,-61.6,39.5,2
20250101,-58.9,39.5,1
20250101,-73,39.6,3
20250101,-62,39.6,3
20250101,-75.3,39.6,1
20250101,-75.2,39.6,3
20250101,-74.8,39.6,5
20250101,-74.4,39.6,2
20250101,-74.3,39.6,8
20250101,-74.2,39.6,18
20250101,-74.1,39.6,18
20250101,-73.9,39.6,2
20250101,-73.8,39.6,1
20250101,-73.7,39.6,4
20250101,-73.6,39.6,4
20250101,-73.5,39.6,1
20250101,-73.4,39.6,1
20250101,-73.3,39.6,2
20250101,-72.4,39.6,1
20250101,-72.3,39.6,2
20250101,-70.7,39.6,1
20250101,-70.6,39.6,1
20250101,-70.5,39.6,1
20250101,-70.4,39.6,2
20250101,-64.8,39.6,2
20250101,-64.7,39.6,3
20250101,-64.6,39.6,3
20250101,-64.5,39.6,1
20250101,-62.9,39.6,1
20250101,-62.6,39.6,1
20250101,-62.4,39.6,1
20250101,-62.3,39.6,4
20250101,-62.2,39.6,4
20250101,-62.1,39.6,1
20250101,-61.9,39.6,1
20250101,-61.5,39.6,1
20250101,-60.2,39.6,1
20250101,-75,39.7,1
20250101,-74,39.7,7
20250101,-73,39.7,1
20250101,-70,39.7,1
20250101,-63,39.7,1
20250101,-62,39.7,2
20250101,-61,39.7,1
20250101,-76.4,39.7,1
20250101,-75.8,39.7,1
20250101,-75.7,39.7,2
20250101,-75.5,39.7,1
20250101,-75.3,39.7,1
20250101,-75.2,39.7,3
20250101,-74.8,39.7,3
20250101,-74.7,39.7,1
20250101,-74.4,39.7,6
20250101,-74.3,39.7,3
20250101,-74.2,39.7,10
20250101,-74.1,39.7,63
20250101,-73.9,39.7,4
20250101,-73.8,39.7,1
20250101,-73.7,39.7,6
20250101,-73.6,39.7,2
20250101,-73.5,39.7,5
20250101,-70.7,39.4,1
20250101,-69.1,39.4,1
20250101,-68.6,39.4,1
20250101,-66.2,39.4,1
20250101,-65.3,39.4,2
20250101,-65.2,39.4,3
20250101,-65.1,39.4,2
20250101,-64.9,39.4,1
20250101,-64.7,39.4,1
20250101,-62.8,39.4,1
20250101,-62.7,39.4,1
20250101,-62.6,39.4,1
20250101,-62.5,39.4,7
20250101,-62.4,39.4,5
20250101,-62.3,39.4,3
20250101,-61.7,39.4,2
20250101,-61.6,39.4,1
20250101,-61.5,39.4,1
20250101,-59.1,39.4,1
20250101,-58.6,39.4,1
20250101,-58.1,39.4,1
20250101,-74,39.5,8
20250101,-73,39.5,1
20250101,-70,39.5,1
20250101,-66,39.5,1
20250101,-65,39.5,2
20250101,-62,39.5,1
20250101,-76.4,39.5,1
20250101,-75.7,39.5,1
20250101,-75.6,39.5,3
20250101,-75.5,39.5,1
20250101,-74.8,39.5,2
20250101,-74.7,39.5,1
20250101,-74.4,39.5,4
20250101,-74.3,39.5,20
20250101,-74.2,39.5,22
20250101,-74.1,39.5,8
20250101,-73.9,39.5,3
20250101,-73.8,39.5,1
